Hi-C	Recomb	N	n	K	k	Probability
5	6	1	34	1	1	-1
5	7	1	34	1	1	-1
5	8	1	34	1	1	-1
5	9	1	34	1	1	-1
5	10	1	34	1	1	-1
5	11	1	34	1	1	-1
5	12	1	34	1	1	-1
5	13	1	34	1	1	-1
5	14	1	34	1	1	-1
5	15	1	34	1	1	-1
5	16	1	34	1	1	-1
6	1	1	21	1	1	-1
6	2	1	21	1	1	-1
6	3	1	21	1	1	-1
6	4	2	21	2	2	-1
6	5	1	21	1	1	-1
6	6	1	21	1	1	-1
6	7	1	21	1	1	-1
6	8	1	21	1	1	-1
6	9	1	21	1	1	-1
6	10	1	21	1	1	-1
6	11	1	21	1	1	-1
6	12	1	21	1	1	-1
6	13	1	21	1	1	-1
6	14	1	21	1	1	-1
6	15	1	21	1	1	-1
6	16	1	21	1	1	-1
7	1	1	48	1	1	-1
7	2	1	48	1	1	-1
7	3	1	48	1	1	-1
7	4	2	48	2	2	-1
7	5	1	48	1	1	-1
7	6	1	48	1	1	-1
7	7	1	48	1	1	-1
7	8	1	48	1	1	-1
7	9	1	48	1	1	-1
7	10	1	48	1	1	-1
7	11	1	48	1	1	-1
7	12	1	48	1	1	-1
7	13	1	48	1	1	-1
7	14	1	48	1	1	-1
7	15	1	48	1	1	-1
7	16	1	48	1	1	-1
8	1	1	25	1	1	-1
8	2	1	25	1	1	-1
8	3	1	25	1	1	-1
8	4	2	25	2	2	-1
8	5	1	25	1	1	-1
8	6	1	25	1	1	-1
8	7	1	25	1	1	-1
8	8	1	25	1	1	-1
8	9	1	25	1	1	-1
8	10	1	25	1	1	-1
8	11	1	25	1	1	-1
8	12	1	25	1	1	-1
8	13	1	25	1	1	-1
8	14	1	25	1	1	-1
8	15	1	25	1	1	-1
8	16	1	25	1	1	-1
9	1	1	19	1	1	-1
9	2	1	19	1	1	-1
9	3	1	19	1	1	-1
9	4	2	19	2	2	-1
9	5	1	19	1	1	-1
9	6	1	19	1	1	-1
9	7	1	19	1	1	-1
9	8	1	19	1	1	-1
9	9	1	19	1	1	-1
9	10	1	19	1	1	-1
9	11	1	19	1	1	-1
9	12	1	19	1	1	-1
9	13	1	19	1	1	-1
9	14	1	19	1	1	-1
9	15	1	19	1	1	-1
9	16	1	19	1	1	-1
10	1	1	24	1	1	-1
10	2	1	24	1	1	-1
10	3	1	24	1	1	-1
10	4	2	24	2	2	-1
10	5	1	24	1	1	-1
10	6	1	24	1	1	-1
10	7	1	24	1	1	-1
10	8	1	24	1	1	-1
10	9	1	24	1	1	-1
10	10	1	24	1	1	-1
10	11	1	24	1	1	-1
10	12	1	24	1	1	-1
10	13	1	24	1	1	-1
10	14	1	24	1	1	-1
10	15	1	24	1	1	-1
10	16	1	24	1	1	-1
11	1	1	21	1	1	-1
11	2	1	21	1	1	-1
11	3	1	21	1	1	-1
11	4	2	21	2	2	-1
11	5	1	21	1	1	-1
11	6	1	21	1	1	-1
11	7	1	21	1	1	-1
11	8	1	21	1	1	-1
11	9	1	21	1	1	-1
11	10	1	21	1	1	-1
11	11	1	21	1	1	-1
11	12	1	21	1	1	-1
11	13	1	21	1	1	-1
11	14	1	21	1	1	-1
11	15	1	21	1	1	-1
11	16	1	21	1	1	-1
12	1	1	21	1	1	-1
12	2	1	21	1	1	-1
12	3	1	21	1	1	-1
12	4	2	21	2	2	-1
12	5	1	21	1	1	-1
12	6	1	21	1	1	-1
12	7	1	21	1	1	-1
12	8	1	21	1	1	-1
12	9	1	21	1	1	-1
12	10	1	21	1	1	-1
12	11	1	21	1	1	-1
12	12	1	21	1	1	-1
12	13	1	21	1	1	-1
12	14	1	21	1	1	-1
12	15	1	21	1	1	-1
12	16	1	21	1	1	-1
13	1	1	17	1	1	-1
13	2	1	17	1	1	-1
13	3	1	17	1	1	-1
13	4	2	17	2	2	-1
13	5	1	17	1	1	-1
13	6	1	17	1	1	-1
13	7	1	17	1	1	-1
13	8	1	17	1	1	-1
13	9	1	17	1	1	-1
13	10	1	17	1	1	-1
13	11	1	17	1	1	-1
13	12	1	17	1	1	-1
13	13	1	17	1	1	-1
13	14	1	17	1	1	-1
13	15	1	17	1	1	-1
13	16	1	17	1	1	-1
14	1	1	10	1	1	-1
14	2	1	10	1	1	-1
14	3	1	10	1	1	-1
14	4	2	10	2	2	-1
14	5	1	10	1	1	-1
14	6	1	10	1	1	-1
14	7	1	10	1	1	-1
14	8	1	10	1	1	-1
14	9	1	10	1	1	-1
14	10	1	10	1	1	-1
14	11	1	10	1	1	-1
14	12	1	10	1	1	-1
14	13	1	10	1	1	-1
14	14	1	10	1	1	-1
14	15	1	10	1	1	-1
14	16	1	10	1	1	-1
15	1	1	6	1	1	-1
15	2	1	6	1	1	-1
15	3	1	6	1	1	-1
15	4	2	6	2	2	-1
15	5	1	6	1	1	-1
15	6	1	6	1	1	-1
15	7	1	6	1	1	-1
15	8	1	6	1	1	-1
15	9	1	6	1	1	-1
15	10	1	6	1	1	-1
15	11	1	6	1	1	-1
15	12	1	6	1	1	-1
15	13	1	6	1	1	-1
15	14	1	6	1	1	-1
15	15	1	6	1	1	-1
15	16	1	6	1	1	-1
16	1	1	2	1	1	-1
16	2	1	2	1	1	-1
16	3	1	2	1	1	-1
16	4	2	2	2	2	1.0
16	5	1	2	1	1	-1
16	6	1	2	1	1	-1
16	7	1	2	1	1	-1
16	8	1	2	1	1	-1
16	9	1	2	1	1	-1
16	10	1	2	1	1	-1
16	11	1	2	1	1	-1
16	12	1	2	1	1	-1
16	13	1	2	1	1	-1
16	14	1	2	1	1	-1
16	15	1	2	1	1	-1
16	16	1	2	1	1	-1
1	1	1	19	1	1	-1
1	2	1	19	1	1	-1
1	3	1	19	1	1	-1
1	4	2	19	2	2	-1
1	5	1	19	1	1	-1
1	6	1	19	1	1	-1
1	7	1	19	1	1	-1
1	8	1	19	1	1	-1
1	9	1	19	1	1	-1
1	10	1	19	1	1	-1
1	11	1	19	1	1	-1
1	12	1	19	1	1	-1
1	13	1	19	1	1	-1
1	14	1	19	1	1	-1
1	15	1	19	1	1	-1
1	16	1	19	1	1	-1
2	1	1	61	1	1	-1
2	2	1	61	1	1	-1
2	3	1	61	1	1	-1
2	4	2	61	2	2	-1
2	5	1	61	1	1	-1
2	6	1	61	1	1	-1
2	7	1	61	1	1	-1
2	8	1	61	1	1	-1
2	9	1	61	1	1	-1
2	10	1	61	1	1	-1
2	11	1	61	1	1	-1
2	12	1	61	1	1	-1
2	13	1	61	1	1	-1
2	14	1	61	1	1	-1
2	15	1	61	1	1	-1
2	16	1	61	1	1	-1
3	1	1	25	1	1	-1
3	2	1	25	1	1	-1
3	3	1	25	1	1	-1
3	4	2	25	2	2	-1
3	5	1	25	1	1	-1
3	6	1	25	1	1	-1
3	7	1	25	1	1	-1
3	8	1	25	1	1	-1
3	9	1	25	1	1	-1
3	10	1	25	1	1	-1
3	11	1	25	1	1	-1
3	12	1	25	1	1	-1
3	13	1	25	1	1	-1
3	14	1	25	1	1	-1
3	15	1	25	1	1	-1
3	16	1	25	1	1	-1
4	1	1	76	1	1	-1
4	2	1	76	1	1	-1
4	3	1	76	1	1	-1
4	4	2	76	2	2	-1
4	5	1	76	1	1	-1
4	6	1	76	1	1	-1
4	7	1	76	1	1	-1
4	8	1	76	1	1	-1
4	9	1	76	1	1	-1
4	10	1	76	1	1	-1
4	11	1	76	1	1	-1
4	12	1	76	1	1	-1
4	13	1	76	1	1	-1
4	14	1	76	1	1	-1
4	15	1	76	1	1	-1
4	16	1	76	1	1	-1
5	1	1	33	1	1	-1
5	2	1	33	1	1	-1
5	3	1	33	1	1	-1
5	4	2	33	2	2	-1
5	5	1	33	1	1	-1
5	6	1	33	1	1	-1
5	7	1	33	1	1	-1
5	8	1	33	1	1	-1
5	9	1	33	1	1	-1
5	10	1	33	1	1	-1
5	11	1	33	1	1	-1
5	12	1	33	1	1	-1
5	13	1	33	1	1	-1
5	14	1	33	1	1	-1
5	15	1	33	1	1	-1
5	16	1	33	1	1	-1
6	1	1	21	1	1	-1
6	2	1	21	1	1	-1
6	3	1	21	1	1	-1
6	4	2	21	2	2	-1
6	5	1	21	1	1	-1
6	6	1	21	1	1	-1
6	7	1	21	1	1	-1
6	8	1	21	1	1	-1
6	9	1	21	1	1	-1
6	10	1	21	1	1	-1
6	11	1	21	1	1	-1
6	12	1	21	1	1	-1
6	13	1	21	1	1	-1
6	14	1	21	1	1	-1
6	15	1	21	1	1	-1
6	16	1	21	1	1	-1
7	1	1	47	1	1	-1
7	2	1	47	1	1	-1
7	3	1	47	1	1	-1
7	4	2	47	2	2	-1
7	5	1	47	1	1	-1
7	6	1	47	1	1	-1
7	7	1	47	1	1	-1
7	8	1	47	1	1	-1
7	9	1	47	1	1	-1
7	10	1	47	1	1	-1
7	11	1	47	1	1	-1
7	12	1	47	1	1	-1
7	13	1	47	1	1	-1
7	14	1	47	1	1	-1
7	15	1	47	1	1	-1
7	16	1	47	1	1	-1
8	1	1	25	1	1	-1
8	2	1	25	1	1	-1
8	3	1	25	1	1	-1
8	4	2	25	2	2	-1
8	5	1	25	1	1	-1
8	6	1	25	1	1	-1
8	7	1	25	1	1	-1
8	8	1	25	1	1	-1
8	9	1	25	1	1	-1
8	10	1	25	1	1	-1
8	11	1	25	1	1	-1
8	12	1	25	1	1	-1
8	13	1	25	1	1	-1
8	14	1	25	1	1	-1
8	15	1	25	1	1	-1
8	16	1	25	1	1	-1
9	1	1	19	1	1	-1
9	2	1	19	1	1	-1
9	3	1	19	1	1	-1
9	4	2	19	2	2	-1
9	5	1	19	1	1	-1
9	6	1	19	1	1	-1
9	7	1	19	1	1	-1
9	8	1	19	1	1	-1
9	9	1	19	1	1	-1
9	10	1	19	1	1	-1
9	11	1	19	1	1	-1
9	12	1	19	1	1	-1
9	13	1	19	1	1	-1
9	14	1	19	1	1	-1
9	15	1	19	1	1	-1
9	16	1	19	1	1	-1
10	1	1	24	1	1	-1
10	2	1	24	1	1	-1
10	3	1	24	1	1	-1
10	4	2	24	2	2	-1
10	5	1	24	1	1	-1
10	6	1	24	1	1	-1
10	7	1	24	1	1	-1
10	8	1	24	1	1	-1
10	9	1	24	1	1	-1
10	10	1	24	1	1	-1
10	11	1	24	1	1	-1
10	12	1	24	1	1	-1
10	13	1	24	1	1	-1
10	14	1	24	1	1	-1
10	15	1	24	1	1	-1
10	16	1	24	1	1	-1
11	1	1	20	1	1	-1
11	2	1	20	1	1	-1
11	3	1	20	1	1	-1
11	4	2	20	2	2	-1
11	5	1	20	1	1	-1
11	6	1	20	1	1	-1
11	7	1	20	1	1	-1
11	8	1	20	1	1	-1
11	9	1	20	1	1	-1
11	10	1	20	1	1	-1
11	11	1	20	1	1	-1
11	12	1	20	1	1	-1
11	13	1	20	1	1	-1
11	14	1	20	1	1	-1
11	15	1	20	1	1	-1
11	16	1	20	1	1	-1
12	1	1	21	1	1	-1
12	2	1	21	1	1	-1
12	3	1	21	1	1	-1
12	4	2	21	2	2	-1
12	5	1	21	1	1	-1
12	6	1	21	1	1	-1
12	7	1	21	1	1	-1
12	8	1	21	1	1	-1
12	9	1	21	1	1	-1
12	10	1	21	1	1	-1
12	11	1	21	1	1	-1
12	12	1	21	1	1	-1
12	13	1	21	1	1	-1
12	14	1	21	1	1	-1
12	15	1	21	1	1	-1
12	16	1	21	1	1	-1
13	1	1	16	1	1	-1
13	2	1	16	1	1	-1
13	3	1	16	1	1	-1
13	4	2	16	2	2	-1
13	5	1	16	1	1	-1
13	6	1	16	1	1	-1
13	7	1	16	1	1	-1
13	8	1	16	1	1	-1
13	9	1	16	1	1	-1
13	10	1	16	1	1	-1
13	11	1	16	1	1	-1
13	12	1	16	1	1	-1
13	13	1	16	1	1	-1
13	14	1	16	1	1	-1
13	15	1	16	1	1	-1
13	16	1	16	1	1	-1
14	1	1	10	1	1	-1
14	2	1	10	1	1	-1
14	3	1	10	1	1	-1
14	4	2	10	2	2	-1
14	5	1	10	1	1	-1
14	6	1	10	1	1	-1
14	7	1	10	1	1	-1
14	8	1	10	1	1	-1
14	9	1	10	1	1	-1
14	10	1	10	1	1	-1
14	11	1	10	1	1	-1
14	12	1	10	1	1	-1
14	13	1	10	1	1	-1
14	14	1	10	1	1	-1
14	15	1	10	1	1	-1
14	16	1	10	1	1	-1
15	1	1	6	1	1	-1
15	2	1	6	1	1	-1
15	3	1	6	1	1	-1
15	4	2	6	2	2	-1
15	5	1	6	1	1	-1
15	6	1	6	1	1	-1
15	7	1	6	1	1	-1
15	8	1	6	1	1	-1
15	9	1	6	1	1	-1
15	10	1	6	1	1	-1
15	11	1	6	1	1	-1
15	12	1	6	1	1	-1
15	13	1	6	1	1	-1
15	14	1	6	1	1	-1
15	15	1	6	1	1	-1
15	16	1	6	1	1	-1
16	1	1	2	1	1	-1
16	2	1	2	1	1	-1
16	3	1	2	1	1	-1
16	4	2	2	2	2	1.0
16	5	1	2	1	1	-1
16	6	1	2	1	1	-1
16	7	1	2	1	1	-1
16	8	1	2	1	1	-1
16	9	1	2	1	1	-1
16	10	1	2	1	1	-1
16	11	1	2	1	1	-1
16	12	1	2	1	1	-1
16	13	1	2	1	1	-1
16	14	1	2	1	1	-1
16	15	1	2	1	1	-1
16	16	1	2	1	1	-1
1	1	1	18	1	1	-1
1	2	1	18	1	1	-1
1	3	1	18	1	1	-1
1	4	2	18	2	2	-1
1	5	1	18	1	1	-1
1	6	1	18	1	1	-1
1	7	1	18	1	1	-1
1	8	1	18	1	1	-1
1	9	1	18	1	1	-1
1	10	1	18	1	1	-1
1	11	1	18	1	1	-1
1	12	1	18	1	1	-1
1	13	1	18	1	1	-1
1	14	1	18	1	1	-1
1	15	1	18	1	1	-1
1	16	1	18	1	1	-1
2	1	1	60	1	1	-1
2	2	1	60	1	1	-1
2	3	1	60	1	1	-1
2	4	2	60	2	2	-1
2	5	1	60	1	1	-1
2	6	1	60	1	1	-1
2	7	1	60	1	1	-1
2	8	1	60	1	1	-1
2	9	1	60	1	1	-1
2	10	1	60	1	1	-1
2	11	1	60	1	1	-1
2	12	1	60	1	1	-1
2	13	1	60	1	1	-1
2	14	1	60	1	1	-1
2	15	1	60	1	1	-1
2	16	1	60	1	1	-1
3	1	1	25	1	1	-1
3	2	1	25	1	1	-1
3	3	1	25	1	1	-1
3	4	2	25	2	2	-1
3	5	1	25	1	1	-1
3	6	1	25	1	1	-1
3	7	1	25	1	1	-1
3	8	1	25	1	1	-1
3	9	1	25	1	1	-1
3	10	1	25	1	1	-1
3	11	1	25	1	1	-1
3	12	1	25	1	1	-1
3	13	1	25	1	1	-1
3	14	1	25	1	1	-1
3	15	1	25	1	1	-1
3	16	1	25	1	1	-1
4	1	1	75	1	1	-1
4	2	1	75	1	1	-1
4	3	1	75	1	1	-1
4	4	2	75	2	2	-1
4	5	1	75	1	1	-1
4	6	1	75	1	1	-1
4	7	1	75	1	1	-1
4	8	1	75	1	1	-1
4	9	1	75	1	1	-1
4	10	1	75	1	1	-1
4	11	1	75	1	1	-1
4	12	1	75	1	1	-1
4	13	1	75	1	1	-1
4	14	1	75	1	1	-1
4	15	1	75	1	1	-1
4	16	1	75	1	1	-1
5	1	1	32	1	1	-1
5	2	1	32	1	1	-1
5	3	1	32	1	1	-1
5	4	2	32	2	2	-1
5	5	1	32	1	1	-1
5	6	1	32	1	1	-1
5	7	1	32	1	1	-1
5	8	1	32	1	1	-1
5	9	1	32	1	1	-1
5	10	1	32	1	1	-1
5	11	1	32	1	1	-1
5	12	1	32	1	1	-1
5	13	1	32	1	1	-1
5	14	1	32	1	1	-1
5	15	1	32	1	1	-1
5	16	1	32	1	1	-1
6	1	1	20	1	1	-1
6	2	1	20	1	1	-1
6	3	1	20	1	1	-1
6	4	2	20	2	2	-1
6	5	1	20	1	1	-1
6	6	1	20	1	1	-1
6	7	1	20	1	1	-1
6	8	1	20	1	1	-1
6	9	1	20	1	1	-1
6	10	1	20	1	1	-1
6	11	1	20	1	1	-1
6	12	1	20	1	1	-1
6	13	1	20	1	1	-1
6	14	1	20	1	1	-1
6	15	1	20	1	1	-1
6	16	1	20	1	1	-1
7	1	1	47	1	1	-1
7	2	1	47	1	1	-1
7	3	1	47	1	1	-1
7	4	2	47	2	2	-1
7	5	1	47	1	1	-1
7	6	1	47	1	1	-1
7	7	1	47	1	1	-1
7	8	1	47	1	1	-1
7	9	1	47	1	1	-1
7	10	1	47	1	1	-1
7	11	1	47	1	1	-1
7	12	1	47	1	1	-1
7	13	1	47	1	1	-1
7	14	1	47	1	1	-1
7	15	1	47	1	1	-1
7	16	1	47	1	1	-1
8	1	1	24	1	1	-1
8	2	1	24	1	1	-1
8	3	1	24	1	1	-1
8	4	2	24	2	2	-1
8	5	1	24	1	1	-1
8	6	1	24	1	1	-1
8	7	1	24	1	1	-1
8	8	1	24	1	1	-1
8	9	1	24	1	1	-1
8	10	1	24	1	1	-1
8	11	1	24	1	1	-1
8	12	1	24	1	1	-1
8	13	1	24	1	1	-1
8	14	1	24	1	1	-1
8	15	1	24	1	1	-1
8	16	1	24	1	1	-1
9	1	1	19	1	1	-1
9	2	1	19	1	1	-1
9	3	1	19	1	1	-1
9	4	2	19	2	2	-1
9	5	1	19	1	1	-1
9	6	1	19	1	1	-1
9	7	1	19	1	1	-1
9	8	1	19	1	1	-1
9	9	1	19	1	1	-1
9	10	1	19	1	1	-1
9	11	1	19	1	1	-1
9	12	1	19	1	1	-1
9	13	1	19	1	1	-1
9	14	1	19	1	1	-1
9	15	1	19	1	1	-1
9	16	1	19	1	1	-1
10	1	1	23	1	1	-1
10	2	1	23	1	1	-1
10	3	1	23	1	1	-1
10	4	2	23	2	2	-1
10	5	1	23	1	1	-1
10	6	1	23	1	1	-1
10	7	1	23	1	1	-1
10	8	1	23	1	1	-1
10	9	1	23	1	1	-1
10	10	1	23	1	1	-1
10	11	1	23	1	1	-1
10	12	1	23	1	1	-1
10	13	1	23	1	1	-1
10	14	1	23	1	1	-1
10	15	1	23	1	1	-1
10	16	1	23	1	1	-1
11	1	1	20	1	1	-1
11	2	1	20	1	1	-1
11	3	1	20	1	1	-1
11	4	2	20	2	2	-1
11	5	1	20	1	1	-1
11	6	1	20	1	1	-1
11	7	1	20	1	1	-1
11	8	1	20	1	1	-1
11	9	1	20	1	1	-1
11	10	1	20	1	1	-1
11	11	1	20	1	1	-1
11	12	1	20	1	1	-1
11	13	1	20	1	1	-1
11	14	1	20	1	1	-1
11	15	1	20	1	1	-1
11	16	1	20	1	1	-1
12	1	1	21	1	1	-1
12	2	1	21	1	1	-1
12	3	1	21	1	1	-1
12	4	2	21	2	2	-1
12	5	1	21	1	1	-1
12	6	1	21	1	1	-1
12	7	1	21	1	1	-1
12	8	1	21	1	1	-1
12	9	1	21	1	1	-1
12	10	1	21	1	1	-1
12	11	1	21	1	1	-1
12	12	1	21	1	1	-1
12	13	1	21	1	1	-1
12	14	1	21	1	1	-1
12	15	1	21	1	1	-1
12	16	1	21	1	1	-1
13	1	1	16	1	1	-1
13	2	1	16	1	1	-1
13	3	1	16	1	1	-1
13	4	2	16	2	2	-1
13	5	1	16	1	1	-1
13	6	1	16	1	1	-1
13	7	1	16	1	1	-1
13	8	1	16	1	1	-1
13	9	1	16	1	1	-1
13	10	1	16	1	1	-1
13	11	1	16	1	1	-1
13	12	1	16	1	1	-1
13	13	1	16	1	1	-1
13	14	1	16	1	1	-1
13	15	1	16	1	1	-1
13	16	1	16	1	1	-1
14	1	1	9	1	1	-1
14	2	1	9	1	1	-1
14	3	1	9	1	1	-1
14	4	2	9	2	2	-1
14	5	1	9	1	1	-1
14	6	1	9	1	1	-1
14	7	1	9	1	1	-1
14	8	1	9	1	1	-1
14	9	1	9	1	1	-1
14	10	1	9	1	1	-1
14	11	1	9	1	1	-1
14	12	1	9	1	1	-1
14	13	1	9	1	1	-1
14	14	1	9	1	1	-1
14	15	1	9	1	1	-1
14	16	1	9	1	1	-1
15	1	1	6	1	1	-1
15	2	1	6	1	1	-1
15	3	1	6	1	1	-1
15	4	2	6	2	2	-1
15	5	1	6	1	1	-1
15	6	1	6	1	1	-1
15	7	1	6	1	1	-1
15	8	1	6	1	1	-1
15	9	1	6	1	1	-1
15	10	1	6	1	1	-1
15	11	1	6	1	1	-1
15	12	1	6	1	1	-1
15	13	1	6	1	1	-1
15	14	1	6	1	1	-1
15	15	1	6	1	1	-1
15	16	1	6	1	1	-1
16	1	1	2	1	1	-1
16	2	1	2	1	1	-1
16	3	1	2	1	1	-1
16	4	2	2	2	2	1.0
16	5	1	2	1	1	-1
16	6	1	2	1	1	-1
16	7	1	2	1	1	-1
16	8	1	2	1	1	-1
16	9	1	2	1	1	-1
16	10	1	2	1	1	-1
16	11	1	2	1	1	-1
16	12	1	2	1	1	-1
16	13	1	2	1	1	-1
16	14	1	2	1	1	-1
16	15	1	2	1	1	-1
16	16	1	2	1	1	-1
1	1	1	18	1	1	-1
1	2	1	18	1	1	-1
1	3	1	18	1	1	-1
1	4	2	18	2	2	-1
1	5	1	18	1	1	-1
1	6	1	18	1	1	-1
1	7	1	18	1	1	-1
1	8	1	18	1	1	-1
1	9	1	18	1	1	-1
1	10	1	18	1	1	-1
1	11	1	18	1	1	-1
1	12	1	18	1	1	-1
1	13	1	18	1	1	-1
1	14	1	18	1	1	-1
1	15	1	18	1	1	-1
1	16	1	18	1	1	-1
2	1	1	59	1	1	-1
2	2	1	59	1	1	-1
2	3	1	59	1	1	-1
2	4	2	59	2	2	-1
2	5	1	59	1	1	-1
2	6	1	59	1	1	-1
2	7	1	59	1	1	-1
2	8	1	59	1	1	-1
2	9	1	59	1	1	-1
2	10	1	59	1	1	-1
2	11	1	59	1	1	-1
2	12	1	59	1	1	-1
2	13	1	59	1	1	-1
2	14	1	59	1	1	-1
2	15	1	59	1	1	-1
2	16	1	59	1	1	-1
3	1	1	24	1	1	-1
3	2	1	24	1	1	-1
3	3	1	24	1	1	-1
3	4	2	24	2	2	-1
3	5	1	24	1	1	-1
3	6	1	24	1	1	-1
3	7	1	24	1	1	-1
3	8	1	24	1	1	-1
3	9	1	24	1	1	-1
3	10	1	24	1	1	-1
3	11	1	24	1	1	-1
3	12	1	24	1	1	-1
3	13	1	24	1	1	-1
3	14	1	24	1	1	-1
3	15	1	24	1	1	-1
3	16	1	24	1	1	-1
4	1	1	73	1	1	-1
4	2	1	73	1	1	-1
4	3	1	73	1	1	-1
4	4	2	73	2	2	-1
4	5	1	73	1	1	-1
4	6	1	73	1	1	-1
4	7	1	73	1	1	-1
4	8	1	73	1	1	-1
4	9	1	73	1	1	-1
4	10	1	73	1	1	-1
4	11	1	73	1	1	-1
4	12	1	73	1	1	-1
4	13	1	73	1	1	-1
4	14	1	73	1	1	-1
4	15	1	73	1	1	-1
4	16	1	73	1	1	-1
5	1	1	32	1	1	-1
5	2	1	32	1	1	-1
5	3	1	32	1	1	-1
5	4	2	32	2	2	-1
5	5	1	32	1	1	-1
5	6	1	32	1	1	-1
5	7	1	32	1	1	-1
5	8	1	32	1	1	-1
5	9	1	32	1	1	-1
5	10	1	32	1	1	-1
5	11	1	32	1	1	-1
5	12	1	32	1	1	-1
5	13	1	32	1	1	-1
5	14	1	32	1	1	-1
5	15	1	32	1	1	-1
5	16	1	32	1	1	-1
6	1	1	20	1	1	-1
6	2	1	20	1	1	-1
6	3	1	20	1	1	-1
6	4	2	20	2	2	-1
6	5	1	20	1	1	-1
6	6	1	20	1	1	-1
6	7	1	20	1	1	-1
6	8	1	20	1	1	-1
6	9	1	20	1	1	-1
6	10	1	20	1	1	-1
6	11	1	20	1	1	-1
6	12	1	20	1	1	-1
6	13	1	20	1	1	-1
6	14	1	20	1	1	-1
6	15	1	20	1	1	-1
6	16	1	20	1	1	-1
7	1	1	46	1	1	-1
7	2	1	46	1	1	-1
7	3	1	46	1	1	-1
7	4	2	46	2	2	-1
7	5	1	46	1	1	-1
7	6	1	46	1	1	-1
7	7	1	46	1	1	-1
7	8	1	46	1	1	-1
7	9	1	46	1	1	-1
7	10	1	46	1	1	-1
7	11	1	46	1	1	-1
7	12	1	46	1	1	-1
7	13	1	46	1	1	-1
7	14	1	46	1	1	-1
7	15	1	46	1	1	-1
7	16	1	46	1	1	-1
8	1	1	24	1	1	-1
8	2	1	24	1	1	-1
8	3	1	24	1	1	-1
8	4	2	24	2	2	-1
8	5	1	24	1	1	-1
8	6	1	24	1	1	-1
8	7	1	24	1	1	-1
8	8	1	24	1	1	-1
8	9	1	24	1	1	-1
8	10	1	24	1	1	-1
8	11	1	24	1	1	-1
8	12	1	24	1	1	-1
8	13	1	24	1	1	-1
8	14	1	24	1	1	-1
8	15	1	24	1	1	-1
8	16	1	24	1	1	-1
9	1	1	18	1	1	-1
9	2	1	18	1	1	-1
9	3	1	18	1	1	-1
9	4	2	18	2	2	-1
9	5	1	18	1	1	-1
9	6	1	18	1	1	-1
9	7	1	18	1	1	-1
9	8	1	18	1	1	-1
9	9	1	18	1	1	-1
9	10	1	18	1	1	-1
9	11	1	18	1	1	-1
9	12	1	18	1	1	-1
9	13	1	18	1	1	-1
9	14	1	18	1	1	-1
9	15	1	18	1	1	-1
9	16	1	18	1	1	-1
10	1	1	23	1	1	-1
10	2	1	23	1	1	-1
10	3	1	23	1	1	-1
10	4	2	23	2	2	-1
10	5	1	23	1	1	-1
10	6	1	23	1	1	-1
10	7	1	23	1	1	-1
10	8	1	23	1	1	-1
10	9	1	23	1	1	-1
10	10	1	23	1	1	-1
10	11	1	23	1	1	-1
10	12	1	23	1	1	-1
10	13	1	23	1	1	-1
10	14	1	23	1	1	-1
10	15	1	23	1	1	-1
10	16	1	23	1	1	-1
11	1	1	20	1	1	-1
11	2	1	20	1	1	-1
11	3	1	20	1	1	-1
11	4	2	20	2	2	-1
11	5	1	20	1	1	-1
11	6	1	20	1	1	-1
11	7	1	20	1	1	-1
11	8	1	20	1	1	-1
11	9	1	20	1	1	-1
11	10	1	20	1	1	-1
11	11	1	20	1	1	-1
11	12	1	20	1	1	-1
11	13	1	20	1	1	-1
11	14	1	20	1	1	-1
11	15	1	20	1	1	-1
11	16	1	20	1	1	-1
12	1	1	20	1	1	-1
12	2	1	20	1	1	-1
12	3	1	20	1	1	-1
12	4	2	20	2	2	-1
12	5	1	20	1	1	-1
12	6	1	20	1	1	-1
12	7	1	20	1	1	-1
12	8	1	20	1	1	-1
12	9	1	20	1	1	-1
12	10	1	20	1	1	-1
12	11	1	20	1	1	-1
12	12	1	20	1	1	-1
12	13	1	20	1	1	-1
12	14	1	20	1	1	-1
12	15	1	20	1	1	-1
12	16	1	20	1	1	-1
13	1	1	16	1	1	-1
13	2	1	16	1	1	-1
13	3	1	16	1	1	-1
13	4	2	16	2	2	-1
13	5	1	16	1	1	-1
13	6	1	16	1	1	-1
13	7	1	16	1	1	-1
13	8	1	16	1	1	-1
13	9	1	16	1	1	-1
13	10	1	16	1	1	-1
13	11	1	16	1	1	-1
13	12	1	16	1	1	-1
13	13	1	16	1	1	-1
13	14	1	16	1	1	-1
13	15	1	16	1	1	-1
13	16	1	16	1	1	-1
14	1	1	9	1	1	-1
14	2	1	9	1	1	-1
14	3	1	9	1	1	-1
14	4	2	9	2	2	-1
14	5	1	9	1	1	-1
14	6	1	9	1	1	-1
14	7	1	9	1	1	-1
14	8	1	9	1	1	-1
14	9	1	9	1	1	-1
14	10	1	9	1	1	-1
14	11	1	9	1	1	-1
14	12	1	9	1	1	-1
14	13	1	9	1	1	-1
14	14	1	9	1	1	-1
14	15	1	9	1	1	-1
14	16	1	9	1	1	-1
15	1	1	6	1	1	-1
15	2	1	6	1	1	-1
15	3	1	6	1	1	-1
15	4	2	6	2	2	-1
15	5	1	6	1	1	-1
15	6	1	6	1	1	-1
15	7	1	6	1	1	-1
15	8	1	6	1	1	-1
